"track_genre","popularity","duration_ms","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"acoustic",42.483,214896.957,0.549593,0.4353681,5.045,-9.447843,0.043247,0.56681639833,0.03833583693,0.1532444,0.424023,119.010624,3.885
"afrobeat",24.399,248412.791,0.66958,0.702812,5.551,-7.789353,0.0865789,0.2708599523,0.25348287056,0.184596,0.6986192,119.213337,3.946
"alt-rock",33.943,235455.907,0.534493,0.754173,5.738,-6.191489,0.0550705,0.12216223569,0.05409657007,0.2102486,0.5182603,124.634404,3.939
"alternative",24.337,222016.18,0.559927,0.72003,5.567,-6.078777,0.0701007,0.14782023359,0.0381586047,0.2013763,0.4955701,122.232394,3.942
"ambient",44.191,237059.038,0.3678668,0.23716179,4.945,-18.601365,0.041562,0.7767899404,0.6762211611,0.1292831,0.1674982,111.113129,3.653
"anime",48.772,210204.076,0.5374514,0.6741083,5.332,-7.932289,0.087323,0.26773437274,0.26297120969,0.197175,0.4344631,123.529616,3.923
"black-metal",22.449,311103.115,0.2964109,0.8748973,5.366,-6.528524,0.0871562,0.02705552076,0.44084682085,0.2414203,0.1917364,128.601515,3.824
"bluegrass",25.676,221496.69,0.534692,0.5302796,5.544,-9.922819,0.0386903,0.556587756,0.13680780283,0.2276738,0.6350927,126.578805,3.911
"blues",31.188,222594.857,0.568567,0.5818775,5.517,-8.522547,0.0639181,0.3981138453,0.03409199347,0.1918301,0.6040318,116.568352,3.888
"brazil",44.67,274230.482,0.562948,0.620721,5.423,-7.602097,0.0959996,0.3323864701,0.01307972784,0.297962,0.4697896,121.935644,3.957
"breakbeat",20.123,321762.218,0.646194,0.853275,5.64,-6.03438,0.0857084,0.03141016618,0.39585736039,0.2203164,0.4747443,133.030213,3.989
"british",43.802,221502.449,0.5012758,0.50712697,4.98,-10.519963,0.05001,0.42794293626,0.19367906512,0.1742984,0.4397141,118.828617,3.846
"cantopop",34.739,229203.236,0.547909,0.4616962,5.136,-9.667446,0.0390832,0.5362672456,0.01261885172,0.1919454,0.3935679,124.277335,3.922
"chicago-house",12.339,366853.868,0.766176,0.733215,5.832,-9.149466,0.0743887,0.03531044957,0.48280494636,0.137569,0.5865412,123.92268,3.988
"children",35.047,138987.757,0.716467,0.49464518,4.528,-9.406671,0.0927109,0.4986771484,0.06055706371,0.1813519,0.6942874,123.341201,3.87
"chill",53.651,169009.967,0.664346,0.4267229,5.355,-10.460978,0.1021671,0.5340969548,0.17802204236,0.1682,0.4037695,115.479376,3.944
"classical",13.055,233075.004,0.3819228,0.189827326,4.983,-20.145216,0.0508306,0.9200489485,0.61920762766,0.1668376,0.38105,107.949793,3.689
"club",33.338,206297.218,0.6033541,0.7217338,5.178,-6.900815,0.0943238,0.15939126669,0.34782217578,0.1993685,0.3682132,123.301328,3.943
"comedy",24.628,225430.863,0.577195,0.699934,5.054,-10.457473,0.7556253,0.726476182,0.00052477331,0.661666,0.4548455,100.995582,3.601
"country",17.028,205999.026,0.555294,0.5968052,5.479,-7.281778,0.042268,0.321226736,0.00558462043,0.1772382,0.5214813,123.963307,3.887
"dance",22.69,197756.89,0.687856,0.708583,5.447,-5.362527,0.0876378,0.1311856039,0.00835941532,0.1681884,0.5525414,120.128306,3.993
"dancehall",33.467,197455.019,0.734169,0.685262,5.315,-6.119958,0.1869861,0.215493569,0.00713402996,0.1567694,0.6290086,112.909984,4.082
"death-metal",32.169,247492.705,0.3684109,0.93147,5.282,-5.350307,0.1112591,0.0066957065,0.27573075265,0.2432416,0.2476111,123.779016,3.885
"deep-house",44.808,219344.579,0.710448,0.741855,5.491,-6.971501,0.0599097,0.10145172488,0.23761450877,0.1708076,0.4472821,120.874904,3.984
"detroit-techno",11.174,372012.402,0.722568,0.7105124,5.825,-11.085944,0.0727167,0.06564069706,0.6995483518,0.1545091,0.4692299,126.592234,3.985
"disco",33.522,245902.859,0.676692,0.737565,5.327,-7.422032,0.0592516,0.1662128304,0.08095198711,0.1953252,0.6707538,121.97438,3.957
"disney",27.536,156257.344,0.4628742,0.30251886,4.441,-14.969963,0.0748771,0.7428922646,0.38355346894,0.1685303,0.3685574,112.060854,3.806
"drum-and-bass",26.657,278791.356,0.535486,0.876635,5.397,-4.159624,0.0916362,0.02593057556,0.37143774644,0.2205559,0.3214739,155.241712,4.007
"dub",40.039,231639.698,0.575321,0.714817,5.341,-6.04989,0.097296,0.1224407862,0.08852665393,0.1895502,0.3867285,129.450647,3.979
"dubstep",42.317,226806.397,0.518087,0.758969,5.304,-5.063413,0.0903804,0.1136410973,0.09307878863,0.1996265,0.2717089,133.631709,3.969
"edm",35.032,193091.936,0.64822,0.756196,5.754,-5.280398,0.070386,0.114270248,0.04005284525,0.1929672,0.4651983,122.037299,3.982
"electro",36.075,193970.478,0.651749,0.665,5.505,-6.126304,0.0794304,0.227599936,0.03772335086,0.1850172,0.4667433,120.835059,3.962
"electronic",44.325,233013.326,0.652945,0.6947523,5.402,-7.142963,0.0817678,0.1770264691,0.24869727176,0.1907763,0.3918389,122.947839,3.964
"emo",48.128,189690.33,0.599321,0.6699669203,5.323,-6.718621,0.1089572,0.1950806663,0.03028117864,0.1837376,0.441135,126.992643,3.961
"folk",38.006,264144.242,0.558514,0.545807,5.103,-9.032255,0.0587055,0.475332133,0.03767461184,0.1761066,0.4906028,118.469526,3.76
"forro",41.826,190709.814,0.649776,0.789526,5.284,-5.122201,0.0571891,0.39757555,0.0012565736,0.2949711,0.7606934,140.362197,3.99
"french",41.067,207590.143,0.6514676,0.5949902,5.491,-8.850678,0.1266466,0.34971259679,0.15883940872,0.1744812,0.4299395,117.820086,3.928
"funk",32.322,212797.631,0.678184,0.632999,5.199,-6.503946,0.1516485,0.2996570331,0.00779820822,0.1805569,0.5996525,117.755823,4.011
"garage",40.933,199813.419,0.4842644,0.74435,5.49,-6.553586,0.0659337,0.16750723036,0.18986973912,0.2126866,0.5180332,127.048215,3.948
"german",26.751,214749.559,0.5243375,0.53171768,5.291,-11.318736,0.0975087,0.38183399837,0.28890127507,0.1963818,0.379078,117.503453,3.88
"gospel",41.639,313218.041,0.473298,0.5762564,5.291,-7.195495,0.0412708,0.376890543,0.00330670977,0.2986686,0.3206412,125.625127,3.927
"goth",28.913,253361.042,0.478875,0.7409699202,5.206,-7.161212,0.0730923,0.16407584244,0.11941419645,0.2303572,0.443546,124.267599,3.941
"grindcore",14.625,133753.507,0.2718537,0.924201,5.207,-6.238013,0.1374715,0.0086983045,0.53845566901,0.2812347,0.2164336,119.229915,3.798
"groove",37.825,251868.1,0.58391,0.7636218,5.558,-6.408986,0.0707264,0.1316428056,0.14554150927,0.2311153,0.4264725,123.739211,3.941
"grunge",49.594,235579.061,0.457062,0.80329,5.255,-5.66096,0.0610544,0.05344148973,0.03698348895,0.2221261,0.400373,129.349208,3.915
"guitar",29.526,212319.332,0.5400374,0.3249991859,5.049,-14.050918,0.0514369,0.773052655,0.51615441929,0.1496743,0.4322858,112.000239,3.776
"happy",21.716,241986.185,0.552847,0.910971,5.755,-5.416665,0.1198609,0.0572435269,0.26364107857,0.2841428,0.3274675,152.908962,3.976
"hard-rock",42.775,251303.372,0.48225,0.795039,5.488,-6.747002,0.0664507,0.09038445053,0.04961711851,0.22126,0.5143641,125.381797,3.959
"hardcore",36.105,209479.3,0.546411,0.842453,5.48,-5.776464,0.1493543,0.06491318171,0.06889598401,0.2351736,0.4962738,125.376114,3.96
"hardstyle",26.623,225310.562,0.539229,0.901246,5.638,-4.345983,0.122424,0.0511382233,0.14268751914,0.2570746,0.3118884,146.837452,3.964
"heavy-metal",26.226,252109.331,0.4284997,0.874003,5.441,-5.756366,0.074557,0.01496797801,0.08255638091,0.2795502,0.3882028,126.613907,3.949
"hip-hop",37.759,206680.508,0.736154,0.68253,5.546,-5.981619,0.1303534,0.194174963,0.0109065493,0.1926446,0.5512478,116.769582,3.962
"honky-tonk",16.355,162327.929,0.571223,0.3669569,5.089,-11.761584,0.0372219,0.7120060718,0.05709471099,0.1904161,0.631621,116.556879,3.819
"house",34.156,190751.638,0.668534,0.755083,5.547,-5.263968,0.0693883,0.108655858,0.03799165293,0.1879849,0.4946745,121.106951,3.986
"idm",15.766,267386.541,0.5278375,0.55539895,5.249,-12.408889,0.0754502,0.37767211412,0.67493109684,0.1683177,0.3025475,123.297377,3.852
"indian",49.539,245473.096,0.592273,0.567121,5.104,-8.850844,0.0721358,0.484919069,0.03940822574,0.1729221,0.463024,116.142954,3.871
"indie",38.895,208756.54,0.587272,0.5561919,5.228,-8.285909,0.0626551,0.38038630683,0.05280611277,0.1603606,0.4679571,119.093452,3.877
"indie-pop",40.657,205608.758,0.60437,0.5611395,5.283,-7.996607,0.0658611,0.37235657733,0.04193259534,0.1674189,0.4606154,120.179009,3.912
"industrial",31.041,254607.288,0.530416,0.8617453,5.484,-6.024399,0.0868167,0.03672752687,0.19203051923,0.2329869,0.4248738,126.831205,3.95
"iranian",2.21,319709.537,0.300686,0.5458459026,5.135,-13.080343,0.0910141,0.41092916465,0.58984838166,0.1920508,0.1535364,114.769364,3.728
